participant_id,trial,network_id,node_id,k_chose_blue,k_chose_green,k_chose_utility,net_decision_index,generation,chose_blue,chose_correct,prop_blue,prop_utility,payout_condition,social_condition,randomization_color,is_practice,failed,green_left,num_loops,is_overflow
4,1,25,148,-1,-1,-1,0,0,0,1,0.35,0.65,no-utility,asocial,green,1,0,1,-1,0
4,2,26,151,-1,-1,-1,1,0,1,1,0.54,0.46,no-utility,asocial,green,1,0,1,-1,0
4,3,27,152,-1,-1,-1,2,0,0,0,0.53,0.47,no-utility,asocial,green,1,0,1,-1,0
4,4,28,153,-1,-1,-1,3,0,1,0,0.46,0.54,no-utility,asocial,green,1,0,1,-1,0
2,1,25,146,-1,-1,-1,0,0,1,1,0.65,0.65,no-utility,asocial,blue,1,0,1,-1,0
4,5,29,154,-1,-1,-1,4,0,0,0,0.52,0.48,no-utility,asocial,green,0,0,1,-1,0
2,2,26,156,-1,-1,-1,1,0,0,1,0.46,0.46,no-utility,asocial,blue,1,0,1,-1,0
4,6,30,157,-1,-1,-1,5,0,0,1,0.48,0.52,no-utility,asocial,green,0,0,1,-1,0
2,3,27,159,-1,-1,-1,2,0,1,0,0.47,0.47,no-utility,asocial,blue,1,0,1,-1,0
2,4,28,162,-1,-1,-1,3,0,1,1,0.54,0.54,no-utility,asocial,blue,1,0,1,-1,0
4,10,35,167,-1,-1,-1,10,0,0,1,0.49,0.51,no-utility,asocial,green,0,0,1,-1,0
4,12,34,172,-1,-1,-1,9,0,1,0,0.48,0.52,no-utility,asocial,green,0,0,1,-1,0
8,3,51,173,-1,-1,-1,2,0,1,1,0.53,0.47,no-utility,social,green,1,0,0,-1,0
2,9,36,176,-1,-1,-1,11,0,1,0,0.49,0.49,no-utility,asocial,blue,0,0,1,-1,0
6,1,37,150,-1,-1,-1,0,0,1,1,0.65,0.65,blue,social,blue,1,0,0,-1,0
8,5,53,178,-1,-1,-1,4,0,1,1,0.52,0.48,no-utility,social,green,0,0,0,-1,0
5,1,13,149,-1,-1,-1,0,0,0,1,0.35,0.65,green,asocial,green,1,0,0,-1,0
6,2,38,182,-1,-1,-1,1,0,0,1,0.46,0.46,blue,social,blue,1,0,0,-1,0
2,12,33,183,-1,-1,-1,8,0,1,0,0.48,0.48,no-utility,asocial,blue,0,0,1,-1,0
8,7,55,184,-1,-1,-1,6,0,0,1,0.49,0.51,no-utility,social,green,0,0,0,-1,0
4,7,31,160,-1,-1,-1,6,0,1,0,0.49,0.51,no-utility,asocial,green,0,0,1,-1,0
4,8,32,163,-1,-1,-1,7,0,1,1,0.51,0.49,no-utility,asocial,green,0,0,1,-1,0
4,9,36,164,-1,-1,-1,11,0,0,0,0.51,0.49,no-utility,asocial,green,0,0,1,-1,0
2,5,29,166,-1,-1,-1,4,0,0,1,0.48,0.48,no-utility,asocial,blue,0,0,1,-1,0
8,1,49,158,-1,-1,-1,0,0,0,1,0.35,0.65,no-utility,social,green,1,0,0,-1,0
2,6,30,168,-1,-1,-1,5,0,1,1,0.52,0.52,no-utility,asocial,blue,0,0,1,-1,0
