,id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents,choice,condition_replication,current_bonus,generation,green_first,green_left,is_equal,is_overflow,is_practice,k_chose_blue,k_chose_green,k_chose_utility,metadata_type,net_decision_index,network_id,node_id,participant_id,payout_condition,proportion_blue,proportion_utility,randomization_color,running_total_pay,social_condition,tie,trial_num,chose_utility,chose_correct,asocial,condition
1633,1763,2019-09-17 16:44:53.440238,,,,,,f,,{},meme,1514,65,"{""choice"":""green"",""trial_num"":5,""is_practice"":false,""payout_condition"":""green"",""social_condition"":""social"",""randomization_color"":""green"",""proportion_utility"":0.48,""proportion_blue"":0.52,""k_chose_blue"":3,""k_chose_green"":5,""k_chose_utility"":5,""generation"":2,""network_id"":65,""node_id"":1514,""running_total_pay"":548,""current_bonus"":48,""participant_id"":139,""green_left"":false,""net_decision_index"":4,""is_overflow"":false,""is_equal"":false,""condition_replication"":2,""metadata_type"":""none"",""tie"":false}",green,2,48,2,,False,False,False,False,3,5,5.0,none,4,65,1514,139,green,0.52,0.48,green,548,social,False,5,1,False,False,0
1669,1772,2019-09-17 16:45:02.408227,,,,,,f,,{},meme,1521,66,"{""choice"":""green"",""trial_num"":6,""is_practice"":false,""payout_condition"":""green"",""social_condition"":""social"",""randomization_color"":""green"",""proportion_utility"":0.52,""proportion_blue"":0.48,""k_chose_blue"":3,""k_chose_green"":5,""k_chose_utility"":5,""generation"":2,""network_id"":66,""node_id"":1521,""running_total_pay"":650,""current_bonus"":102,""participant_id"":139,""green_left"":false,""net_decision_index"":5,""is_overflow"":false,""is_equal"":false,""condition_replication"":2,""metadata_type"":""none"",""tie"":false}",green,2,102,2,,False,False,False,False,3,5,5.0,none,5,66,1521,139,green,0.48,0.52,green,650,social,False,6,1,True,False,0
1688,1725,2019-09-17 16:44:14.404881,,,,,,f,,{},meme,1480,64,"{""choice"":""green"",""trial_num"":4,""is_practice"":true,""payout_condition"":""green"",""social_condition"":""social"",""randomization_color"":""green"",""proportion_utility"":0.54,""proportion_blue"":0.46,""k_chose_blue"":1,""k_chose_green"":7,""k_chose_utility"":7,""generation"":2,""network_id"":64,""node_id"":1480,""running_total_pay"":500,""current_bonus"":104,""participant_id"":139,""green_left"":false,""net_decision_index"":3,""is_overflow"":false,""is_equal"":false,""condition_replication"":2,""metadata_type"":""none"",""green_first"":true,""tie"":false}",green,2,104,2,True,False,False,False,True,1,7,7.0,none,3,64,1480,139,green,0.46,0.54,green,500,social,False,4,1,True,False,0
1746,1716,2019-09-17 16:44:02.160285,,,,,,f,,{},meme,1472,63,"{""choice"":""green"",""trial_num"":3,""is_practice"":true,""payout_condition"":""green"",""social_condition"":""social"",""randomization_color"":""green"",""proportion_utility"":0.47,""proportion_blue"":0.53,""k_chose_blue"":5,""k_chose_green"":3,""k_chose_utility"":3,""generation"":2,""network_id"":63,""node_id"":1472,""running_total_pay"":500,""current_bonus"":47,""participant_id"":139,""green_left"":false,""net_decision_index"":2,""is_overflow"":false,""is_equal"":false,""condition_replication"":2,""metadata_type"":""none"",""green_first"":true,""tie"":false}",green,2,47,2,True,False,False,False,True,5,3,3.0,none,2,63,1472,139,green,0.53,0.47,green,500,social,False,3,1,False,False,0
1775,1779,2019-09-17 16:45:10.616151,,,,,,f,,{},meme,1528,67,"{""choice"":""green"",""trial_num"":7,""is_practice"":false,""payout_condition"":""green"",""social_condition"":""social"",""randomization_color"":""green"",""proportion_utility"":0.51,""proportion_blue"":0.49,""k_chose_blue"":5,""k_chose_green"":3,""k_chose_utility"":3,""generation"":2,""network_id"":67,""node_id"":1528,""running_total_pay"":751,""current_bonus"":101,""participant_id"":139,""green_left"":false,""net_decision_index"":6,""is_overflow"":false,""is_equal"":false,""condition_replication"":2,""metadata_type"":""none"",""tie"":false}",green,2,101,2,,False,False,False,False,5,3,3.0,none,6,67,1528,139,green,0.49,0.51,green,751,social,False,7,1,True,False,0
1778,1705,2019-09-17 16:43:38.564264,,,,,,f,,{},meme,1441,61,"{""choice"":""green"",""trial_num"":1,""is_practice"":true,""payout_condition"":""green"",""social_condition"":""social"",""randomization_color"":""green"",""proportion_utility"":0.53,""proportion_blue"":0.47,""k_chose_blue"":1,""k_chose_green"":7,""k_chose_utility"":7,""generation"":2,""network_id"":61,""node_id"":1441,""running_total_pay"":500,""current_bonus"":103,""participant_id"":139,""green_left"":false,""net_decision_index"":0,""is_overflow"":false,""is_equal"":false,""condition_replication"":2,""metadata_type"":""none"",""tie"":false}",green,2,103,2,,False,False,False,True,1,7,7.0,none,0,61,1441,139,green,0.47,0.53,green,500,social,False,1,1,True,False,0
1779,1709,2019-09-17 16:43:50.806092,,,,,,f,,{},meme,1467,62,"{""choice"":""blue"",""trial_num"":2,""is_practice"":true,""payout_condition"":""green"",""social_condition"":""social"",""randomization_color"":""green"",""proportion_utility"":0.46,""proportion_blue"":0.54,""k_chose_blue"":4,""k_chose_green"":4,""k_chose_utility"":4,""generation"":2,""network_id"":62,""node_id"":1467,""running_total_pay"":500,""current_bonus"":96,""participant_id"":139,""green_left"":false,""net_decision_index"":1,""is_overflow"":false,""is_equal"":false,""condition_replication"":2,""metadata_type"":""none"",""green_first"":true,""tie"":true}",blue,2,96,2,True,False,False,False,True,4,4,4.0,none,1,62,1467,139,green,0.54,0.46,green,500,social,True,2,0,True,False,0
1800,1790,2019-09-17 16:45:18.861847,,,,,,f,,{},meme,1532,68,"{""choice"":""blue"",""trial_num"":8,""is_practice"":false,""payout_condition"":""green"",""social_condition"":""social"",""randomization_color"":""green"",""proportion_utility"":0.49,""proportion_blue"":0.51,""k_chose_blue"":1,""k_chose_green"":7,""k_chose_utility"":7,""generation"":2,""network_id"":68,""node_id"":1532,""running_total_pay"":850,""current_bonus"":99,""participant_id"":139,""green_left"":false,""net_decision_index"":7,""is_overflow"":false,""is_equal"":false,""condition_replication"":2,""metadata_type"":""none"",""tie"":false}",blue,2,99,2,,False,False,False,False,1,7,7.0,none,7,68,1532,139,green,0.51,0.49,green,850,social,False,8,0,True,False,0
1806,1797,2019-09-17 16:45:27.264692,,,,,,f,,{},meme,1540,71,"{""choice"":""green"",""trial_num"":9,""is_practice"":false,""payout_condition"":""green"",""social_condition"":""social"",""randomization_color"":""green"",""proportion_utility"":0.51,""proportion_blue"":0.49,""k_chose_blue"":3,""k_chose_green"":5,""k_chose_utility"":5,""generation"":2,""network_id"":71,""node_id"":1540,""running_total_pay"":951,""current_bonus"":101,""participant_id"":139,""green_left"":false,""net_decision_index"":10,""is_overflow"":false,""is_equal"":false,""condition_replication"":2,""metadata_type"":""none"",""tie"":false}",green,2,101,2,,False,False,False,False,3,5,5.0,none,10,71,1540,139,green,0.49,0.51,green,951,social,False,9,1,True,False,0
1811,1801,2019-09-17 16:45:27.951925,,,,,,f,,{},meme,1483,61,"{""choice"":""green"",""trial_num"":1,""is_practice"":true,""payout_condition"":""green"",""social_condition"":""social"",""randomization_color"":""green"",""proportion_utility"":0.53,""proportion_blue"":0.47,""k_chose_blue"":1,""k_chose_green"":7,""k_chose_utility"":7,""generation"":2,""network_id"":61,""node_id"":1483,""running_total_pay"":500,""current_bonus"":103,""participant_id"":164,""green_left"":true,""net_decision_index"":0,""is_overflow"":false,""is_equal"":false,""condition_replication"":2,""metadata_type"":""none"",""tie"":false}",green,2,103,2,,True,False,False,True,1,7,7.0,none,0,61,1483,164,green,0.47,0.53,green,500,social,False,1,1,True,False,0
